0.0,423,-545,270
0.0,926,-845,-248
0.0,-158,-403,423
1.0,-488,106,745
1.0,258,822,64
1.0,611,287,918
0.0,-664,-840,816
0.0,-886,-726,-615
1.0,676,276,494
1.0,31,822,35
0.0,-599,-212,-87
0.0,784,-956,781
1.0,34,-500,919
0.0,593,17,-467
0.0,-695,166,-467
0.0,-684,276,-577
0.0,402,-194,-923
0.0,275,-610,249
0.0,-876,700,-550
0.0,895,-756,-265
1.0,-201,-56,615
0.0,-882,-5,-683
0.0,810,-36,-479
0.0,353,-911,-230
1.0,-438,-395,946
0.0,-404,-811,538
1.0,429,19,443
0.0,-184,313,-576
0.0,23,576,-753
1.0,126,809,-961
0.0,-970,682,-746
1.0,251,-37,716
0.0,536,-43,-356
1.0,-136,-348,895
0.0,-921,-172,-154
1.0,262,457,-224
1.0,-99,886,-626
0.0,573,24,-357
0.0,324,-824,-247
1.0,430,-211,322
0.0,599,-821,-349
0.0,975,-850,-931
1.0,-863,933,-503
0.0,786,-571,-488
1.0,348,498,326
1.0,-774,-313,849
0.0,-699,312,-198
0.0,134,-797,-123
0.0,882,-522,-798
0.0,455,-631,-707
1.0,-635,880,-395
0.0,-45,-829,-699
0.0,-340,-999,-815
0.0,41,-235,-789
1.0,315,421,539
1.0,793,952,-749
1.0,-682,217,355
0.0,897,-842,-843
0.0,-81,-647,738
1.0,744,-747,623
0.0,-870,290,-935
0.0,-381,-95,-258
1.0,682,819,982
1.0,157,947,-100
1.0,213,736,-593
0.0,-708,-551,846
0.0,-389,-896,29
1.0,-598,691,77
1.0,-394,816,294
0.0,-653,84,-985
1.0,788,581,252
1.0,765,754,-480
0.0,-89,510,-869
0.0,-155,-616,-303
0.0,480,-570,80
1.0,-812,321,58
0.0,365,-203,-777
1.0,881,699,-641
1.0,629,511,-27
0.0,786,-842,-100
0.0,-450,-634,-461
1.0,930,440,239
1.0,-970,94,577
0.0,-283,-940,-714
0.0,104,-794,586
1.0,-826,-211,740
0.0,653,-452,-280
0.0,-414,-753,-855
1.0,-518,685,389
0.0,-36,-497,-36
0.0,-648,-631,-605
0.0,944,-672,-997
0.0,118,-522,-92
0.0,223,-391,-591
0.0,-779,-861,917
1.0,880,907,931
1.0,-75,856,905
0.0,843,-397,-396
0.0,-125,-486,557
0.0,-485,-318,-882
1.0,836,-134,289
0.0,-204,-893,-599
1.0,635,-713,596
1.0,-637,715,-429
0.0,519,-956,-501
1.0,-178,443,-382
1.0,294,-21,408
1.0,43,323,585
1.0,291,-323,684
1.0,148,379,451
0.0,589,-78,-226
0.0,236,-203,-83
1.0,-899,951,-712
1.0,423,973,-524
0.0,560,-322,87
0.0,428,-212,-397
0.0,-503,-127,-90
1.0,-135,716,-417
1.0,-154,928,585
0.0,-956,-687,171
0.0,-501,-831,-214
0.0,287,-1000,20
1.0,773,104,-379
0.0,299,-386,-857
1.0,614,359,-558
1.0,373,-49,911
1.0,803,914,991
0.0,530,-584,-399
0.0,-456,-544,-358
0.0,-322,-593,-191
0.0,-392,-709,650
1.0,372,347,491
0.0,-268,-356,-4
0.0,-435,-91,-995
0.0,444,-586,-31
1.0,-17,-46,730
0.0,642,-458,-11
0.0,352,-936,356
1.0,840,-502,932
1.0,-748,129,557
1.0,-739,963,-253
0.0,-349,-624,663
0.0,-189,-949,910
1.0,351,830,-728
0.0,88,88,-367
0.0,-575,-788,150
0.0,670,-510,-960
1.0,964,384,327
0.0,446,-144,-260
1.0,730,816,538
1.0,322,-10,399
1.0,-997,194,624
1.0,824,789,421
1.0,-393,473,-92
0.0,551,-360,-271
0.0,-737,-803,-183
1.0,-768,-2,640
0.0,-711,2,-326
1.0,128,713,412
1.0,495,518,645
0.0,-918,-65,177
1.0,-305,141,896
0.0,607,-384,-138
0.0,-685,-601,24
1.0,-322,537,933
0.0,-680,-117,-457
1.0,-411,773,-180
0.0,-34,-742,-312
0.0,760,94,-861
1.0,-683,448,796
1.0,638,-92,872
0.0,509,-207,-608
1.0,874,89,-501
0.0,669,483,-971
0.0,132,415,-990
1.0,745,544,370
0.0,201,-979,26
1.0,626,10,982
1.0,904,-633,461
0.0,-832,179,-931
1.0,952,688,667
1.0,337,592,175
0.0,974,-394,-528
0.0,-604,-577,-496
1.0,-201,943,227
0.0,-353,-475,-318
0.0,32,-773,329
0.0,-806,-546,-371
0.0,-372,153,-102
0.0,612,-576,-913
1.0,-524,-279,959
1.0,773,-455,518
0.0,433,-582,-58
1.0,473,-610,645
0.0,77,267,-716
1.0,-726,803,727
1.0,865,34,372
1.0,157,826,700
1.0,-581,992,-275
0.0,3,24,-469
0.0,3,-946,21
1.0,-843,745,125
1.0,620,991,917
1.0,935,353,-240
1.0,-160,347,20
0.0,-771,34,-848
0.0,-432,169,-382
0.0,-936,-302,-31
1.0,-723,560,400
1.0,551,812,459
1.0,540,901,273
1.0,850,-375,480
0.0,-772,-590,-269
1.0,287,-434,892
1.0,-766,-324,813
1.0,-669,539,559
1.0,-194,837,-162
0.0,-978,-365,-377
0.0,-824,-781,474
0.0,-896,-352,-210
0.0,158,-907,-952
0.0,-456,-882,897
1.0,844,313,-388
0.0,-594,-955,786
1.0,-213,994,-860
0.0,442,-965,204
1.0,-301,991,-148
0.0,-617,-728,-866
0.0,-329,-503,143
1.0,254,161,197
0.0,-310,-677,-75
0.0,437,-817,-498
1.0,-981,199,280
0.0,-717,362,-301
0.0,334,46,-461
1.0,-151,633,843
1.0,-150,34,850
1.0,733,-56,574
1.0,974,746,-7
1.0,279,233,25
1.0,-326,251,363
0.0,-826,800,-994
1.0,-480,90,493
0.0,-537,-818,527
0.0,-715,25,-697
1.0,-5,375,149
1.0,-463,622,-410
0.0,-979,53,290
1.0,827,856,765
0.0,-357,-659,-671
0.0,-174,202,-255
1.0,446,354,-313
0.0,-428,-226,-662
0.0,222,-899,-158
1.0,409,910,-12
1.0,475,548,876
0.0,-956,-376,-707
0.0,-654,-752,37
1.0,934,612,-65
1.0,63,840,591
1.0,344,258,875
