0.0,-383,-496,650,738,458
0.0,292,-695,942,-865,535
0.0,-895,958,252,757,-178
1.0,-173,576,-580,-769,891
0.0,-691,44,-804,973,214
1.0,392,-170,-980,-373,466
0.0,159,-941,578,-402,481
0.0,-55,-62,712,-193,924
0.0,982,-835,90,-16,-52
0.0,608,265,707,487,973
0.0,-446,-112,623,233,748
1.0,-410,610,-372,-693,-139
1.0,810,-118,52,124,-955
1.0,-207,582,426,-757,509
0.0,-551,-344,594,498,650
1.0,476,-617,-793,-809,963
0.0,338,-516,-153,198,-590
1.0,-116,-206,540,-738,-284
1.0,41,970,20,-756,-264
1.0,723,47,-616,-860,926
1.0,586,-78,-131,-395,928
0.0,-867,-817,-318,-52,-23
1.0,-438,-709,143,-735,186
1.0,84,301,-756,232,-182
1.0,-485,387,-549,-14,-471
0.0,-887,-88,951,-125,720
1.0,730,703,60,-310,-825
1.0,358,-807,-469,-339,29
0.0,-704,-73,63,782,-815
1.0,177,291,-465,-993,-788
0.0,175,552,262,245,-165
1.0,-791,427,-908,-766,-868
1.0,488,339,-654,-842,-486
1.0,-663,794,-861,-589,713
0.0,-396,-40,939,968,-522
1.0,262,-183,-982,145,-51
1.0,546,-323,81,-383,247
1.0,985,-464,-720,-411,847
1.0,-793,278,-988,-474,686
0.0,-999,-648,-922,34,-440
1.0,-127,203,730,-641,715
0.0,-149,-96,772,411,879
1.0,849,347,-472,-66,-485
0.0,-739,-381,296,-366,425
0.0,13,-754,847,-535,-878
0.0,481,-813,88,-230,-260
1.0,166,752,-128,389,-699
1.0,747,395,-727,284,611
0.0,429,-115,528,942,424
1.0,364,-553,-257,-845,-550
0.0,0,360,924,881,-115
0.0,220,-953,-473,-93,919
0.0,171,252,-187,609,-509
0.0,-704,-630,354,-141,441
0.0,390,421,788,343,634
0.0,-211,-864,527,349,773
0.0,-349,-437,-366,126,-37
1.0,-17,-214,-864,-79,383
1.0,-489,162,-794,-682,625
0.0,-872,762,-287,905,-213
1.0,320,-760,653,-772,-534
0.0,26,-876,315,617,-564
1.0,174,832,328,-351,-442
0.0,59,-673,-122,786,528
0.0,-173,99,12,882,-400
1.0,558,585,-410,-46,75
0.0,824,-781,-426,146,-235
0.0,-768,83,-64,102,724
0.0,259,-649,576,549,201
0.0,217,-566,99,268,275
1.0,-963,-150,-39,-391,65
1.0,909,614,770,-545,-92
1.0,-865,95,-902,19,-376
0.0,198,-935,-310,-51,945
0.0,-163,-977,-818,618,-325
0.0,-863,657,-678,801,-415
0.0,609,-55,-449,440,57
0.0,-15,-23,761,-297,487
1.0,970,635,-902,-923,-535
1.0,-249,-773,-493,-195,-724
1.0,-822,518,-880,199,514
0.0,63,832,457,979,638
1.0,301,-795,-153,-876,764
0.0,647,-423,-475,285,-271
1.0,-31,-907,-204,-330,-853
1.0,821,79,945,-475,588
1.0,-694,127,-801,-963,641
1.0,-152,379,618,-652,351
1.0,7,550,-558,-424,962
1.0,-247,820,-907,25,-876
0.0,-458,731,485,428,-800
1.0,-78,-249,674,-516,-922
0.0,920,-392,647,-473,893
0.0,-331,853,509,358,-447
0.0,-498,-287,77,84,23
0.0,646,22,564,822,790
0.0,150,-283,667,583,-912
1.0,-789,276,-622,22,-418
1.0,278,713,-597,-710,-671
1.0,798,859,-756,-743,143
0.0,874,-998,-284,46,881
0.0,623,-647,665,375,188
1.0,-546,-295,-309,-595,613
0.0,602,-76,390,594,43
0.0,2,605,628,893,-959
0.0,-620,-625,-170,524,-192
0.0,-557,-831,984,-184,-871
1.0,-248,-159,753,-562,-696
1.0,244,-932,-136,-939,851
1.0,735,611,762,-279,-95
1.0,-419,-56,-994,33,-535
1.0,-946,776,-630,435,-243
1.0,-632,522,316,-292,-240
0.0,357,-813,-316,-2,564
0.0,-922,-731,365,-96,-33
0.0,925,-341,581,367,-943
1.0,875,-161,-849,204,-110
1.0,891,121,617,124,-930
1.0,-808,822,-108,-212,357
1.0,805,535,-416,137,226
0.0,-682,82,45,474,112
1.0,-31,-309,-872,-107,910
0.0,167,-210,0,689,115
1.0,-688,756,514,35,-835
0.0,169,-897,953,778,616
0.0,-208,-522,497,586,679
1.0,201,427,-417,332,256
0.0,761,-861,321,857,-697
1.0,-779,-701,390,-772,75
1.0,-766,-160,166,-627,-865
1.0,53,321,-321,-378,74
0.0,805,950,686,768,998
0.0,-726,-524,3,193,-348
0.0,15,254,942,-118,937
0.0,216,-129,-369,676,23
1.0,767,938,271,-948,-126
0.0,-804,-70,-504,743,-166
0.0,-240,385,242,909,-570
0.0,-688,-389,718,82,-134
1.0,682,-894,849,-999,325
0.0,50,336,293,787,-594
1.0,536,24,-681,58,890
1.0,-103,-484,-818,-41,355
0.0,-6,792,264,839,477
0.0,903,-982,36,943,256
1.0,610,501,-940,87,-323
0.0,-239,-800,-81,-143,-453
1.0,-766,994,-753,-420,-890
0.0,-191,-274,-383,245,751
1.0,-412,907,-741,242,-534
0.0,516,398,-252,457,910
0.0,760,-162,870,487,996
1.0,-502,237,881,-760,-205
1.0,960,-596,956,-594,126
0.0,-317,-319,-717,157,923
1.0,642,-20,-799,572,-285
0.0,492,913,322,564,282
1.0,302,790,617,-50,438
0.0,87,-872,51,116,-182
0.0,-122,-499,-657,551,261
0.0,-204,-287,865,-341,338
1.0,-331,670,-571,-120,-276
1.0,-949,-222,-602,-673,796
0.0,-81,52,886,850,-333
0.0,873,21,720,203,654
1.0,398,969,453,-686,316
1.0,890,65,-528,425,88
1.0,-441,982,-764,-691,471
1.0,-857,381,-814,31,923
